# origin	classification	frequency
Danish 	North Germanic	11
Swedish 	North Germanic	9
Norwegian 	North Germanic	7
Old Danish 	North Germanic	3
Icelandic 	North Germanic	2
Danish and Norwegian 	North Germanic	1
Danish phrase 	North Germanic	1
Faeroese 	North Germanic	1
Norman form of Old Norse 	North Germanic	1
Norse 	North Germanic	1
North Germanic 	North Germanic	1
Old Norse and connected with Norwegian dialectal 	North Germanic	1
Old Norse or Old Danish 	North Germanic	1
Old Norse plural of 	North Germanic	1
Scandinavian and cognate with the 	North Germanic	1
Scandinavian base 	North Germanic	1
Hebrew 	Semitic	97
Arabic 	Semitic	94
Modern Hebrew 	Semitic	5
Phoenician 	Semitic	4
Akkadian 	Semitic	3
Mishnaic Hebrew 	Semitic	2
Rabbinical Hebrew 	Semitic	2
Semitic root 	Semitic	2
Amharic 	Semitic	1
Arabic or Persian 	Semitic	1
Arabic plural of 	Semitic	1
Assyrian 	Semitic	1
Babylonian 	Semitic	1
Egyptian Arabic 	Semitic	1
Greek form of Hebrew 	Semitic	1
Late Hebrew 	Semitic	1
Semitic 	Semitic	1
Ugaritic base 	Semitic	1
Irish 	Celtic	42
Gaelic 	Celtic	33
Welsh 	Celtic	16
Celtic 	Celtic	11
Old Irish 	Celtic	11
Gaulish 	Celtic	5
Celtic root 	Celtic	3
Cornish 	Celtic	3
Irish and Gaelic 	Celtic	3
Gaelic and Irish 	Celtic	2
Old Celtic 	Celtic	2
Irish Gaelic 	Celtic	1
Middle Welsh 	Celtic	1
Modern Irish 	Celtic	1
Old Breton 	Celtic	1
Old Gaelic 	Celtic	1
Scottish Gaelic 	Celtic	1
Welsh surname 	Celtic	1
Sanskrit 	Indian	57
Hindi 	Indian	46
Urdu 	Indian	3
Gujarati 	Indian	2
Hindi or Urdu 	Indian	2
Marathi 	Indian	2
Bengali 	Indian	1
Dravidian 	Indian	1
Guarani 	Indian	1
Hindustani 	Indian	1
Pali 	Indian	1
Romany 	Indian	1
Sinhalese 	Indian	1
Japanese 	East Asian	36
Chinese 	East Asian	22
Cantonese 	East Asian	5
Tagalog 	East Asian	4
Tibetan 	East Asian	3
Korean 	East Asian	2
Malay 	East Asian	2
Vietnamese 	East Asian	2
Burmese 	East Asian	1
Cambodian 	East Asian	1
Cantonese pronunciation of Chinese 	East Asian	1
Cantonese t	East Asian	1
Chinese pidgin English 	East Asian	1
Japanese ophthalmologist Shinobu 	East Asian	1
Mandarin 	East Asian	1
Nepalese 	East Asian	1
Tagalog form of obsolete Spanish 	East Asian	1
Thai 	East Asian	1
Russian 	Slavic	52
Polish 	Slavic	6
Old Church Slavonic 	Slavic	5
Croatian 	Slavic	2
Czech 	Slavic	2
Serbian 	Slavic	2
Bulgarian 	Slavic	1
Old Russian 	Slavic	1
Old Serbian 	Slavic	1
Russian abbreviation of 	Slavic	1
Russian actor and director Konstantin 	Slavic	1
Russian initials of 	Slavic	1
Russian pet form of 	Slavic	1
Slavic 	Slavic	1
Slavic root 	Slavic	1
Turkish 	Altaic	24
Mongolian 	Altaic	2
Turkic 	Altaic	2
Tunguse 	Altaic	1
Turkish pronunciation of Persian 	Altaic	1
Turkish pronunciation of Persian and Arabic 	Altaic	1
Persian 	Iranian	20
Old Persian 	Iranian	7
Persian and Urdu 	Iranian	1
Tajik 	Iranian	1
Urdu and Persian 	Iranian	1
Finnish 	Uralic	2
Hungarian 	Uralic	2
Estonian 	Uralic	1
Vogul 	Uralic	1
Lithuanian 	Baltic	2
Hawaiian 	other	7
Algonquian 	other	4
Egyptian 	other	3
Muskogee 	other	3
Eskimo 	other	2
Narragansett 	other	2
Zulu 	other	2
Aborigine 	other	1
Aleut 	other	1
Apalachee 	other	1
Armenian 	other	1
Bantu 	other	1
Basque 	other	1
Carib 	other	1
Cherokee t	other	1
Chickasaw 	other	1
Chinook jargon 	other	1
Dakota 	other	1
Eastern Polynesian 	other	1
Greenland Eskimo 	other	1
Ido 	other	1
Inupiaq Eskimo 	other	1
Javanese 	other	1
Jawaharlal 	other	1
Kongo 	other	1
Malagasy 	other	1
Maori 	other	1
Navajo 	other	1
New England Algonquian 	other	1
New York dialect 	other	1
Ojibwa 	other	1
Omaha 	other	1
Oneida 	other	1
Onondaga 	other	1
Potawatomi 	other	1
Pueblo 	other	1
Sahaptin 	other	1
Salishan 	other	1
Southern Chinookan 	other	1
Tupi 	other	1
Washo 	other	1
West Indies 	other	1
