"written_rep_a"	"lex_entry_a"	"sense_a"	"trans"	"sense_b"	"lex_entry_b"	"written_rep_b"	"POS"
"francés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/franc%C3%A9s-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/franc%C3%A9s_franc%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/franc%C3%A9s_franc%C3%A9s-adj-es-sense-franc%C3%A9s_franc%C3%A9s-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/franc%C3%A9s_franc%C3%A9s-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/franc%C3%A9s-adj-an"	"francés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"distinción"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/distinci%C3%B3n-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distinci%C3%B3n_distinci%C3%B3n-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distinci%C3%B3n_distinci%C3%B3n-n-es-sense-distinci%C3%B3n_distinci%C3%B3n-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distinci%C3%B3n_distinci%C3%B3n-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/distinci%C3%B3n-n-an"	"distinción"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"puerta"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/puerta-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/puerta_puerta-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/puerta_puerta-n-es-sense-puerta_puerta-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/puerta_puerta-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/puerta-n-an"	"puerta"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"neerlandés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/neerland%C3%A9s-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-n-es-sense-neerland%C3%A9s_neerland%C3%A9s-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/neerland%C3%A9s_neerland%C3%A9s-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/neerland%C3%A9s-n-an"	"neerlandés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"inglés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ingl%C3%A9s-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ingl%C3%A9s_angl%C3%A9s-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ingl%C3%A9s_angl%C3%A9s-n-es-sense-angl%C3%A9s_ingl%C3%A9s-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angl%C3%A9s_ingl%C3%A9s-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/angl%C3%A9s-n-an"	"anglés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"inglés"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ingl%C3%A9s-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ingl%C3%A9s_angl%C3%A9s-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ingl%C3%A9s_angl%C3%A9s-adj-es-sense-angl%C3%A9s_ingl%C3%A9s-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angl%C3%A9s_ingl%C3%A9s-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/angl%C3%A9s-adj-an"	"anglés"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"opinión"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/opini%C3%B3n-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/opini%C3%B3n_opini%C3%B3n-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/opini%C3%B3n_opini%C3%B3n-n-es-sense-opini%C3%B3n_opini%C3%B3n-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/opini%C3%B3n_opini%C3%B3n-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/opini%C3%B3n-n-an"	"opinión"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"voluntad"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/voluntad-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/voluntad_boluntat-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/voluntad_boluntat-n-es-sense-boluntat_voluntad-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/boluntat_voluntad-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/boluntat-n-an"	"boluntat"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"español"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/espa%C3%B1ol-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/espa%C3%B1ol_espanyol-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/espa%C3%B1ol_espanyol-adj-es-sense-espanyol_espa%C3%B1ol-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/espanyol_espa%C3%B1ol-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/espanyol-adj-an"	"espanyol"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"social"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/social-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/social_social-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/social_social-adj-es-sense-social_social-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/social_social-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/social-adj-an"	"social"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"cultural"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/cultural-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/cultural_cultural-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/cultural_cultural-adj-es-sense-cultural_cultural-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/cultural_cultural-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/cultural-adj-an"	"cultural"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"universal"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/universal-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/universal_universal-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/universal_universal-adj-es-sense-universal_universal-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/universal_universal-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/universal-adj-an"	"universal"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"oral"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/oral-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/oral_oral-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/oral_oral-adj-es-sense-oral_oral-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/oral_oral-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/oral-adj-an"	"oral"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"interlingüístico"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/interling%C3%BC%C3%ADstico-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/interling%C3%BC%C3%ADstico_interling%C3%BCistico-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/interling%C3%BC%C3%ADstico_interling%C3%BCistico-adj-es-sense-interling%C3%BCistico_interling%C3%BC%C3%ADstico-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/interling%C3%BCistico_interling%C3%BC%C3%ADstico-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/interling%C3%BCistico-adj-an"	"interlingüistico"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"mío"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/m%C3%ADo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/m%C3%ADo_m%C3%ADo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/m%C3%ADo_m%C3%ADo-adj-es-sense-m%C3%ADo_m%C3%ADo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/m%C3%ADo_m%C3%ADo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/m%C3%ADo-adj-an"	"mío"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"tuyo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/tuyo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tuyo_tuyo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tuyo_tuyo-adj-es-sense-tuyo_tuyo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/tuyo_tuyo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/tuyo-adj-an"	"tuyo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"nuestro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/nuestro-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/nuestro_nuestro-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/nuestro_nuestro-adj-es-sense-nuestro_nuestro-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/nuestro_nuestro-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/nuestro-adj-an"	"nuestro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"mío"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/m%C3%ADo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/m%C3%ADo_om%C3%ADo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/m%C3%ADo_om%C3%ADo-adj-es-sense-om%C3%ADo_m%C3%ADo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/om%C3%ADo_m%C3%ADo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/om%C3%ADo-adj-an"	"o mío"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"vuestro"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/vuestro-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_vuestro-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_vuestro-adj-es-sense-vuestro_vuestro-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/vuestro_vuestro-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/vuestro-adj-an"	"vuestro"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"distancia"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/distancia-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distancia_distanzia-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distancia_distanzia-n-es-sense-distanzia_distancia-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/distanzia_distancia-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/distanzia-n-an"	"distanzia"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"superficie"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/superficie-n-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superficie_superfizie-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superficie_superfizie-n-es-sense-superfizie_superficie-n-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/superfizie_superficie-n-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/superfizie-n-an"	"superfizie"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"acertado"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acertado-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acertado_acertado-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acertado_acertado-adj-es-sense-acertado_acertado-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/acertado_acertado-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/acertado-adj-an"	"acertado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"administrativo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/administrativo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/administrativo_administrativo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/administrativo_administrativo-adj-es-sense-administrativo_administrativo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/administrativo_administrativo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/administrativo-adj-an"	"administrativo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"africano"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/africano-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africano_africano-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africano_africano-adj-es-sense-africano_africano-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/africano_africano-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/africano-adj-an"	"africano"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"amargo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/amargo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/amargo_amargo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/amargo_amargo-adj-es-sense-amargo_amargo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/amargo_amargo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/amargo-adj-an"	"amargo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"ambicioso"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ambicioso-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambicioso_ambicioso-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambicioso_ambicioso-adj-es-sense-ambicioso_ambicioso-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambicioso_ambicioso-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ambicioso-adj-an"	"ambicioso"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"ambiguo"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ambiguo-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambiguo_ambiguo-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambiguo_ambiguo-adj-es-sense-ambiguo_ambiguo-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ambiguo_ambiguo-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ambiguo-adj-an"	"ambiguo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"ancho"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ancho-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ancho_ancho-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ancho_ancho-adj-es-sense-ancho_ancho-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/ancho_ancho-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/ancho-adj-an"	"ancho"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"anglicano"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/anglicano-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/anglicano_anglicano-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/anglicano_anglicano-adj-es-sense-anglicano_anglicano-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/anglicano_anglicano-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/anglicano-adj-an"	"anglicano"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"angoleño"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/angole%C3%B1o-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angole%C3%B1o_angole%C3%B1o-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angole%C3%B1o_angole%C3%B1o-adj-es-sense-angole%C3%B1o_angole%C3%B1o-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angole%C3%B1o_angole%C3%B1o-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/angole%C3%B1o-adj-an"	"angoleño"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"angosto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/angosto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angosto_angosto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angosto_angosto-adj-es-sense-angosto_angosto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/angosto_angosto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/angosto-adj-an"	"angosto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"apto"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/apto-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/apto_apto-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/apto_apto-adj-es-sense-apto_apto-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/apto_apto-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/apto-adj-an"	"apto"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"arbitrario"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/arbitrario-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arbitrario_arbitrario-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arbitrario_arbitrario-adj-es-sense-arbitrario_arbitrario-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arbitrario_arbitrario-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/arbitrario-adj-an"	"arbitrario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"arcilloso"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/arcilloso-adj-es"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arcilloso_arcilloso-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arcilloso_arcilloso-adj-es-sense-arcilloso_arcilloso-adj-an-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetES-AN/arcilloso_arcilloso-adj-an-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconAN/arcilloso-adj-an"	"arcilloso"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
